Price,Close,High,Low,Open,Volume
Ticker,SBUX,SBUX,SBUX,SBUX,SBUX
Date,,,,,
2015-09-10,45.458412170410156,45.721129856925195,44.60458125515722,44.61278981268,8924800
2015-09-11,46.410762786865234,46.418974475914915,45.17927250412011,45.310631342339256,8363100
2015-09-14,46.21372604370117,46.72274114975007,46.016686220672256,46.41897442392883,5463900
2015-09-15,46.722740173339844,46.96903759809757,46.074154553732555,46.32866366735915,6741300
2015-09-16,47.01008224487305,47.083971778565484,46.14803977302219,46.657057952610714,6593400
2015-09-17,47.02650451660156,47.69971890511514,46.82946783948816,47.059345006734304,7525300
2015-09-18,46.66526412963867,47.31384965544398,46.205506706566325,46.37791769761922,16268000
2015-09-21,47.23997497558594,47.48627244214734,46.763797159303984,46.96083701165843,6220100
2015-09-22,46.89514923095703,47.001879266031395,46.55033345403613,46.6734806035757,8585100
2015-09-23,47.44521713256836,47.56015572635738,46.83768053874407,46.92799032867595,6829200
2015-09-24,47.921390533447266,48.060961059379665,46.936197690316284,47.108608708449445,10027300
2015-09-25,47.60942077636719,48.40578244765277,47.40417237406353,48.37294195164209,10627000
2015-09-28,45.786808013916016,47.97065060546739,45.66365773579448,47.625831705832084,11548100
2015-09-29,45.745758056640625,46.22193265011425,44.99865410941697,45.85248495492857,9392100
2015-09-30,46.66526412963867,46.71452486020253,45.65544264188874,46.30402816769404,9799600
2015-10-01,47.190704345703125,47.20712459094705,45.88532460130589,46.78841929867241,8497100
2015-10-02,47.683311462402344,47.691520020679526,46.418980522450276,46.78842828176642,9036800
2015-10-05,48.47145462036133,48.58639320364373,47.675089962131096,48.01990884381981,8199000
2015-10-06,48.184104919433594,48.553552601877946,47.798240123850825,48.290834945882295,5538000
2015-10-07,48.25800704956055,48.29905923864426,47.5355348729535,48.12664818728269,8138300
2015-10-08,48.81626510620117,49.02151344902762,47.937802449451254,48.25798936316593,6834800
2015-10-09,49.31708908081055,49.34992957896933,48.68492358454423,48.82449413579792,7969900
2015-10-12,49.70295715332031,49.9903036828858,49.29246032145974,49.54696635283423,6430300
2015-10-13,49.390987396240234,49.87537386855007,49.27604876414007,49.538766532324104,6262800
2015-10-14,48.290836334228516,49.39917628158449,47.97064937751864,49.25960889300494,8365600
2015-10-15,49.005096435546875,49.1200381458517,47.68329965137579,48.39756305457109,9745900
